frame,timestamp,camera_x_m,camera_y_m,camera_z_m,roll_deg,pitch_deg,yaw_deg,raw_camera_x_m,raw_camera_y_m,raw_camera_z_m,detected_tag_count,inlier_count,reprojection_rmse_px,detected_ids,selected_view,quality_status
0,0.000000,,,,,,,,,,20,,,4 5 7 8 9 10 11 14 16 17 18 20 22 23 26 27 28 33 34 35,,insufficient_tags
12,0.200200,-0.2027883,-0.5506246,0.9422473,99.7414,-60.3509,-98.5687,-0.2027883,-0.5506246,0.9422473,21,6,0.2860,2 3 4 5 7 8 10 11 14 15 16 17 21 22 23 27 28 29 33 34 35,h-090,valid
24,0.400400,-0.1989103,-0.5464360,0.9406786,99.0194,-60.4484,-98.5371,-0.1989103,-0.5464360,0.9406786,19,4,0.4717,3 4 5 7 10 13 14 15 16 17 22 23 25 26 28 29 32 34 35,h-150,valid
36,0.600600,-0.1990387,-0.5268694,0.9534349,98.6867,-61.5981,-98.1739,-0.1990387,-0.5268694,0.9534349,18,5,0.1323,2 3 4 5 10 11 15 16 17 18 21 22 23 27 28 29 34 35,h-090,valid
48,0.800800,,,,,,,,,,21,,,0 2 3 4 5 7 8 9 10 11 15 16 17 21 22 23 27 28 29 33 34,,insufficient_tags
60,1.001000,-0.1899267,-0.5306858,0.9534736,97.2529,-61.9559,-96.6255,-0.1899267,-0.5306858,0.9534736,18,5,0.4182,0 3 4 5 8 9 10 11 15 16 17 21 23 27 28 29 34 35,h-120,valid
72,1.201200,-0.2034048,-0.5475333,0.9475418,98.1757,-61.0018,-97.6339,-0.2034048,-0.5475333,0.9475418,19,5,0.2019,2 3 4 5 7 8 9 10 11 15 16 17 22 23 25 27 28 29 35,h-060,valid
84,1.401400,-0.2395864,-0.5618378,0.9237492,102.1789,-60.0260,-102.3933,-0.2395864,-0.5618378,0.9237492,18,6,0.5968,2 3 5 7 9 10 11 14 15 16 17 23 29 31 32 33 34 35,h-060,valid
96,1.601600,,,,,,,,,,22,,,0 2 4 5 9 10 11 14 15 16 17 20 21 23 27 28 29 31 32 33 34 35,,insufficient_tags
108,1.801800,-0.2537936,-0.5671119,0.9152569,102.5425,-59.9468,-102.7428,-0.2537936,-0.5671119,0.9152569,21,4,0.5638,2 5 7 8 9 10 11 15 16 17 18 21 22 23 27 29 30 32 33 34 35,h-060,valid
120,2.002000,-0.2171933,-0.5318818,0.9339607,98.5188,-62.4781,-98.4609,-0.2171933,-0.5318818,0.9339607,15,5,0.4320,3 4 5 6 8 9 10 11 15 16 17 23 26 27 35,h-090,valid
132,2.202200,-0.2508752,-0.5588230,0.9266822,100.5869,-60.9130,-100.9260,-0.2508752,-0.5588230,0.9266822,19,5,0.1806,2 4 5 7 10 12 15 16 17 21 22 23 26 27 29 32 33 34 35,h-090,valid
144,2.402400,,,,,,,,,,24,,,0 2 4 5 7 9 10 11 12 14 16 17 18 21 22 23 27 28 29 31 32 33 34 35,,insufficient_tags
156,2.602600,-0.2367233,-0.5510815,0.9386271,98.9017,-63.0739,-99.2029,-0.2367233,-0.5510815,0.9386271,23,6,0.2626,0 2 4 5 9 10 11 12 14 16 17 19 20 22 23 27 28 29 30 31 33 34 35,h-120,valid
168,2.802800,,,,,,,,,,22,,,2 3 4 5 8 9 10 11 12 14 15 16 17 19 21 22 23 28 29 33 34 35,,insufficient_tags
180,3.003000,-0.1783932,-0.5078859,0.9396870,103.8183,-61.6513,-102.1591,-0.1783932,-0.5078859,0.9396870,19,4,0.0981,0 4 9 10 11 12 15 16 17 18 20 21 23 26 27 28 33 34 35,h-090,valid
192,3.203200,-0.2117538,-0.5193995,0.9105371,108.2991,-59.4647,-106.3727,-0.2117538,-0.5193995,0.9105371,20,4,0.0750,4 5 7 9 11 12 14 16 17 21 22 23 26 27 28 29 31 33 34 35,h-090,valid
204,3.403400,-0.1163258,-0.4553709,0.9282163,101.8770,-62.9325,-97.8707,-0.1163258,-0.4553709,0.9282163,22,8,0.4391,1 2 3 5 7 9 10 11 15 16 17 20 21 22 23 26 28 30 32 33 34 35,h-090,valid
216,3.603600,-0.0461872,-0.4186368,0.9267783,96.8760,-64.3306,-92.1030,-0.0461872,-0.4186368,0.9267783,21,4,0.1617,1 2 3 4 5 7 9 10 11 14 16 17 18 22 23 27 28 29 32 34 35,h-060,valid
228,3.803800,0.0200784,-0.3575036,0.9290790,81.1639,-67.1989,-79.6423,0.0200784,-0.3575036,0.9290790,26,5,0.2603,0 3 4 5 7 8 9 10 11 15 16 17 19 21 22 23 24 25 27 28 29 31 32 33 34 35,h-090,valid
240,4.004000,0.0708809,-0.3275332,0.9234210,65.0013,-65.9077,-65.2129,0.0708809,-0.3275332,0.9234210,29,7,0.3739,0 2 3 4 5 6 7 8 9 10 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 34,h-090,valid
252,4.204200,0.1294778,-0.2520154,0.9245441,53.7767,-66.7456,-53.6118,0.1294778,-0.2520154,0.9245441,30,8,0.3910,0 2 3 5 6 7 8 9 10 11 12 14 15 16 17 19 20 21 22 23 24 25 27 28 29 31 32 33 34 35,h-120,valid
264,4.404400,0.1892504,-0.2214739,0.9134657,44.7857,-64.1309,-49.8638,0.1892504,-0.2214739,0.9134657,32,9,0.6859,0 1 3 5 6 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35,h-090,valid
276,4.604600,0.2160809,-0.1733320,0.8986598,36.2447,-58.3047,-48.9190,0.2160809,-0.1733320,0.8986598,26,6,0.3756,0 2 4 5 7 10 11 12 14 15 16 17 19 20 21 22 23 24 26 27 28 29 31 32 34 35,h-060,valid
288,4.804800,0.2745048,-0.1138538,0.9018130,34.3410,-61.0711,-45.7874,0.2745048,-0.1138538,0.9018130,31,6,0.5268,3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 31 32 33 34 35,h-120,valid
300,5.005000,0.3316368,-0.0688988,0.8905839,40.5752,-65.4490,-53.4801,0.3316368,-0.0688988,0.8905839,29,9,0.4065,0 4 5 7 8 9 10 11 12 13 15 17 18 19 20 21 22 23 25 26 27 28 29 30 31 32 33 34 35,h-090,valid
312,5.205200,0.3986280,-0.1651578,0.8757107,44.1376,-72.0671,-60.9948,0.3986280,-0.1651578,0.8757107,24,7,0.3022,0 3 7 9 10 11 12 13 15 16 17 18 19 20 21 23 24 25 27 29 32 33 34 35,h-090,valid
324,5.405400,0.3645415,-0.3383706,0.9025310,57.1046,-73.9883,-78.1370,0.3645415,-0.3383706,0.9025310,22,4,0.2524,3 7 8 9 11 14 15 16 17 18 19 20 22 23 26 27 29 31 32 33 34 35,h-060,valid
336,5.605600,0.3332989,-0.4695373,0.9144990,58.7972,-72.4491,-80.4676,0.3332989,-0.4695373,0.9144990,16,13,0.9728,7 8 9 10 11 15 16 17 21 23 27 29 32 33 34 35,tracked,valid
348,5.805800,0.2884898,-0.5518377,0.9246650,59.5655,-69.6249,-81.3415,0.2884898,-0.5518377,0.9246650,11,8,0.6377,3 4 9 10 11 15 16 17 29 34 35,tracked,valid
360,6.006000,0.2338229,-0.5975732,0.9269993,66.7577,-70.6933,-85.9021,0.2338229,-0.5975732,0.9269993,9,5,0.5502,4 5 7 10 17 27 28 34 35,tracked,valid
