frame,timestamp,camera_x_m,camera_y_m,camera_z_m,roll_deg,pitch_deg,yaw_deg,raw_camera_x_m,raw_camera_y_m,raw_camera_z_m,detected_tag_count,inlier_count,reprojection_rmse_px,detected_ids,selected_view,quality_status
0,0.000000,,,,,,,,,,13,,,4 5 9 10 11 15 16 17 27 28 29 32 35,,insufficient_tags
12,0.200200,-0.1367659,-0.6248162,0.9702767,92.2875,-63.7148,-93.4688,-0.1367659,-0.6248162,0.9702767,13,4,0.1154,3 4 10 11 16 17 22 23 27 29 31 34 35,h-060,valid
24,0.400400,,,,,,,,,,11,,,3 4 7 11 16 17 23 29 33 34 35,,insufficient_tags
36,0.600600,-0.1192789,-0.6885830,1.0045212,95.5210,-65.1801,-95.3881,-0.1192789,-0.6885830,1.0045212,10,10,1.0515,1 2 5 7 10 16 17 28 29 35,tracked,valid
48,0.800800,-0.1476280,-0.7060630,0.9993397,97.2422,-64.2899,-97.4794,-0.1476280,-0.7060630,0.9993397,12,5,0.4289,4 5 10 11 12 17 27 28 29 33 34 35,h-120,valid
60,1.001000,-0.1516354,-0.7167503,0.9914297,96.7132,-63.4760,-97.5613,-0.1516354,-0.7167503,0.9914297,14,12,0.9866,4 10 11 16 18 22 23 26 27 28 32 33 34 35,tracked,valid
72,1.201200,-0.1402233,-0.7189872,0.9889932,98.0447,-64.4005,-98.1828,-0.1402233,-0.7189872,0.9889932,13,10,0.9980,3 4 7 10 11 16 17 20 26 29 33 34 35,tracked,valid
84,1.401400,,,,,,,,,,10,,,4 7 10 11 13 14 17 29 33 35,,insufficient_tags
96,1.601600,,,,,,,,,,9,,,2 4 5 10 11 17 32 34 35,,insufficient_tags
108,1.801800,0.0399598,-0.6403686,0.9970284,100.7805,-67.3457,-97.0545,0.0399598,-0.6403686,0.9970284,15,4,0.3070,3 4 7 8 9 10 11 16 17 22 23 28 29 34 35,h-120,valid
120,2.002000,,,,,,,,,,12,,,0 2 4 5 7 10 12 15 17 23 34 35,,insufficient_tags
132,2.202200,,,,,,,,,,19,,,2 3 4 7 9 10 11 12 15 16 17 18 23 27 28 29 33 34 35,,insufficient_tags
144,2.402400,0.1564542,-0.4146520,0.9901084,119.6499,-67.2619,-109.8347,0.1564542,-0.4146520,0.9901084,19,4,0.4891,0 3 4 7 9 10 16 17 18 20 23 26 27 28 29 32 33 34 35,h-090,valid
156,2.602600,0.1493089,-0.3557025,0.9841671,124.6644,-64.7293,-113.0863,0.1493089,-0.3557025,0.9841671,26,5,0.1436,2 4 6 9 10 11 12 13 14 15 16 17 18 20 21 22 23 26 27 28 29 31 32 33 34 35,h-060,valid
168,2.802800,0.1680850,-0.3305218,0.9917339,130.0707,-65.9404,-115.1418,0.1680850,-0.3305218,0.9917339,25,6,0.2967,2 3 8 9 10 14 15 16 17 18 19 20 21 22 23 25 26 27 28 29 31 32 33 34 35,h-060,valid
180,3.003000,0.1365791,-0.2624489,1.0009191,140.8541,-66.2818,-123.8622,0.1365791,-0.2624489,1.0009191,22,6,0.3141,2 3 4 5 7 8 9 10 11 12 13 15 16 17 18 23 28 29 32 33 34 35,h-060,valid
192,3.203200,0.1073285,-0.1994476,1.0092442,164.5825,-66.1822,-146.9408,0.1073285,-0.1994476,1.0092442,31,6,0.3224,2 3 4 5 7 8 9 10 11 12 13 14 15 16 17 18 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,h-060,valid
204,3.403400,0.0827203,-0.1726415,1.0039167,165.6014,-70.5394,-148.6913,0.0827203,-0.1726415,1.0039167,24,9,0.4502,0 4 5 6 7 8 9 10 11 12 16 18 22 23 24 26 27 28 29 31 32 33 34 35,h-060,valid
216,3.603600,0.0437081,-0.0949536,0.9795367,163.2057,-74.1730,-148.1282,0.0437081,-0.0949536,0.9795367,29,12,0.4958,1 3 4 7 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 26 27 28 29 30 31 32 33 35,h-090,valid
228,3.803800,0.0094530,-0.0494350,0.9710235,165.0231,-77.6372,-148.0372,0.0094530,-0.0494350,0.9710235,32,6,0.3156,0 1 4 5 6 7 8 9 10 12 13 14 15 16 17 18 19 20 21 22 23 24 25 27 28 29 30 31 32 33 34 35,h-030,valid
240,4.004000,-0.0428908,-0.0193005,0.9697632,179.2323,-81.8507,-165.7949,-0.0428908,-0.0193005,0.9697632,30,4,0.1328,0 1 2 3 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 26 27 28 29 32 34 35,h-030,valid
252,4.204200,-0.0707589,0.0198303,0.9645068,151.4190,-88.1537,-136.2784,-0.0707589,0.0198303,0.9645068,28,20,0.3226,0 2 3 4 5 6 7 8 10 11 12 13 15 16 17 18 20 21 23 24 26 28 30 31 32 33 34 35,h-090,valid
