frame,timestamp,camera_x_m,camera_y_m,camera_z_m,roll_deg,pitch_deg,yaw_deg,raw_camera_x_m,raw_camera_y_m,raw_camera_z_m,detected_tag_count,inlier_count,reprojection_rmse_px,detected_ids,selected_view,quality_status
0,0.000000,,,,,,,,,,14,,,2 3 5 9 10 11 15 17 22 23 28 29 32 35,,insufficient_tags
12,0.200200,-0.2317847,-0.6321499,0.7224930,115.5919,-55.6599,-104.5748,-0.2317847,-0.6321499,0.7224930,13,5,0.5891,5 7 11 15 16 17 22 23 28 29 32 34 35,h-120,valid
24,0.400400,,,,,,,,,,14,,,3 4 5 10 11 15 16 17 23 26 28 29 32 35,,insufficient_tags
36,0.600600,-0.1936964,-0.6252098,0.7689865,109.3608,-53.3154,-98.2044,-0.1936964,-0.6252098,0.7689865,15,4,0.3721,7 9 10 11 16 17 20 22 23 26 28 29 33 34 35,h-120,valid
48,0.800800,,,,,,,,,,14,,,2 3 5 7 9 10 11 15 17 23 28 29 33 35,,insufficient_tags
60,1.001000,,,,,,,,,,3,,,17 33 35,,insufficient_tags
72,1.201200,,,,,,,,,,16,,,2 5 7 8 9 10 11 15 16 17 23 27 28 29 34 35,,insufficient_tags
84,1.401400,-0.2583594,-0.6144009,0.7527146,119.0121,-56.7963,-109.2006,-0.2583594,-0.6144009,0.7527146,13,5,0.8387,2 11 15 16 17 22 23 27 28 29 32 34 35,h-120,valid
96,1.601600,-0.2439503,-0.5308179,0.7739968,122.6399,-62.4034,-112.3973,-0.2439503,-0.5308179,0.7739968,17,4,0.4276,3 4 5 8 9 15 16 17 20 21 22 28 29 32 33 34 35,h-090,valid
108,1.801800,,,,,,,,,,19,,,3 5 7 8 11 14 15 16 17 21 22 23 27 28 29 32 33 34 35,,insufficient_tags
120,2.002000,-0.2636888,-0.4234879,0.7402004,129.3821,-64.1889,-122.3612,-0.2636888,-0.4234879,0.7402004,20,4,0.6991,0 3 4 5 9 10 11 14 15 16 17 20 23 27 28 29 32 33 34 35,h-120,valid
132,2.202200,-0.2452113,-0.3949145,0.7283416,124.8249,-61.0909,-119.7561,-0.2452113,-0.3949145,0.7283416,24,9,1.0851,0 2 3 4 5 8 9 10 11 13 16 17 21 22 23 25 26 27 28 29 32 33 34 35,h-090,valid
144,2.402400,-0.2128472,-0.3479746,0.7232661,119.6404,-62.0813,-115.1628,-0.2128472,-0.3479746,0.7232661,26,7,0.8046,0 1 2 3 4 5 7 8 9 10 11 13 16 17 19 20 22 23 26 27 28 29 31 32 34 35,h-120,valid
156,2.602600,-0.1981893,-0.2656480,0.7299203,116.9019,-66.0612,-112.1635,-0.1981893,-0.2656480,0.7299203,30,13,1.1331,0 1 2 3 4 5 6 7 8 9 10 11 13 14 15 16 17 18 21 22 23 26 27 28 29 30 31 32 34 35,h-090,valid
168,2.802800,-0.1476327,-0.1865888,0.7352620,106.4606,-68.1596,-102.5471,-0.1476327,-0.1865888,0.7352620,35,15,1.0050,0 1 2 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,h-060,valid
180,3.003000,-0.1094229,-0.1580599,0.7375104,101.9773,-68.2771,-96.8458,-0.1094229,-0.1580599,0.7375104,34,16,0.8554,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 20 21 22 23 24 25 26 27 28 29 30 32 33 34 35,h-060,valid
192,3.203200,-0.0715394,-0.2505496,0.7662758,102.2856,-69.9612,-97.1240,-0.0715394,-0.2505496,0.7662758,31,18,1.1115,0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 19 21 22 23 24 27 28 29 31 32 33 34 35,h-090,valid
204,3.403400,-0.0180667,-0.4163680,0.8268143,102.5285,-72.1660,-96.8237,-0.0180667,-0.4163680,0.8268143,29,8,0.4273,0 1 2 4 5 6 7 8 9 10 11 12 15 16 17 19 20 21 22 23 26 27 28 29 31 32 33 34 35,h-090,valid
216,3.603600,-0.0266523,-0.5829047,0.8775852,117.3312,-70.4382,-113.4311,-0.0266523,-0.5829047,0.8775852,21,4,0.2261,0 2 3 4 7 10 11 13 15 16 17 19 22 23 27 28 29 31 33 34 35,h-060,valid
228,3.803800,0.0196178,-0.6820702,0.9134677,113.9213,-71.1055,-113.5331,0.0196178,-0.6820702,0.9134677,18,6,0.5100,1 4 5 7 9 10 11 15 16 17 20 22 23 28 29 32 34 35,h-060,valid
240,4.004000,0.0261745,-0.7086373,0.9161722,111.6077,-69.5154,-111.2247,0.0261745,-0.7086373,0.9161722,14,7,0.7107,3 4 5 7 10 11 12 16 17 22 28 32 34 35,h-060,valid
252,4.204200,0.0443457,-0.6835035,0.9244973,100.5329,-70.7633,-100.5075,0.0443457,-0.6835035,0.9244973,15,13,0.7562,2 3 4 5 7 10 15 16 17 22 23 29 32 33 35,tracked,valid
264,4.404400,0.0508863,-0.6385359,0.9229785,96.5779,-69.3937,-96.7800,0.0508863,-0.6385359,0.9229785,15,12,1.0395,2 3 4 5 9 10 15 16 17 21 23 26 28 29 35,tracked,valid
276,4.604600,0.1101577,-0.5202041,0.9121436,87.3777,-70.4619,-86.4529,0.1101577,-0.5202041,0.9121436,16,5,0.3316,2 3 9 10 11 12 15 16 17 21 23 26 29 33 34 35,h-090,valid
288,4.804800,0.1397264,-0.4345304,0.8883520,84.3450,-67.9935,-83.2899,0.1397264,-0.4345304,0.8883520,27,7,0.3757,0 2 3 5 7 8 9 10 11 12 13 14 15 16 17 19 20 21 22 23 26 27 28 29 32 34 35,h-090,valid
300,5.005000,0.1850228,-0.3211683,0.8700375,69.7259,-66.2606,-70.0857,0.1850228,-0.3211683,0.8700375,24,8,0.4098,0 1 4 5 7 9 10 11 14 15 16 17 20 21 22 24 26 27 28 29 32 33 34 35,h-090,valid
312,5.205200,0.2027707,-0.2485769,0.8468009,63.6855,-61.6167,-65.9206,0.2027707,-0.2485769,0.8468009,25,7,0.6788,2 3 4 5 6 7 10 12 15 17 19 20 21 22 23 24 25 26 27 28 29 32 33 34 35,h-060,valid
324,5.405400,0.2124657,-0.1616612,0.8393255,62.3876,-60.1735,-63.3288,0.2124657,-0.1616612,0.8393255,30,10,0.9067,0 2 3 4 5 6 7 8 9 10 12 13 15 16 17 18 21 22 23 25 26 27 28 29 30 31 32 33 34 35,h-090,valid
336,5.605600,0.2509188,-0.0658898,0.8303112,55.1207,-59.8587,-57.1445,0.2509188,-0.0658898,0.8303112,32,12,1.0541,0 1 2 3 5 7 8 9 10 11 12 13 15 16 17 18 19 20 21 23 24 25 26 27 28 29 30 31 32 33 34 35,h-060,valid
348,5.805800,0.2770967,-0.0990893,0.8193531,50.3752,-58.5413,-55.4181,0.2770967,-0.0990893,0.8193531,33,9,0.7352,0 2 3 4 5 7 8 9 10 11 12 13 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35,h-090,valid
360,6.006000,0.2975591,-0.2114899,0.8574283,47.9440,-60.5286,-53.9067,0.2975591,-0.2114899,0.8574283,30,5,0.2779,1 3 4 5 6 7 8 10 11 12 13 15 16 17 18 19 20 21 22 23 24 26 27 28 29 30 31 32 34 35,h-030,valid
372,6.206200,0.2959599,-0.4036151,0.8722080,45.7679,-57.7045,-53.3940,0.2959599,-0.4036151,0.8722080,25,9,0.4027,0 2 3 4 5 7 9 10 11 12 14 15 16 17 20 21 22 23 27 28 29 31 32 33 35,h-090,valid
384,6.406400,0.2928851,-0.5291808,0.9021663,46.1271,-56.5789,-56.4936,0.2928851,-0.5291808,0.9021663,14,11,0.9951,2 3 4 5 7 9 10 15 16 17 23 28 29 34,tracked,valid
396,6.606600,0.2620618,-0.6258876,0.9404937,46.2740,-58.3934,-59.8453,0.2620618,-0.6258876,0.9404937,14,9,0.9857,1 5 7 10 11 16 17 20 23 27 28 29 34 35,tracked,valid
408,6.806800,0.2637421,-0.6540910,0.9569781,50.0121,-56.6802,-64.5708,0.2637421,-0.6540910,0.9569781,10,8,0.6587,5 15 17 22 23 28 29 32 34 35,tracked,valid
420,7.007000,0.2543035,-0.6760445,0.9536526,52.5157,-55.8836,-67.5946,0.2543035,-0.6760445,0.9536526,8,7,1.1017,1 5 9 13 16 17 22 34,tracked,valid
432,7.207200,,,,,,,,,,15,,,2 3 4 7 10 11 13 15 17 23 27 28 29 34 35,,insufficient_tags
